,,,,,,,,,,,
,【開発視点レポート（TSV形式）】,,,,,,,,,,
,カテゴリ,コア要素,関連キーワード（原子化）,,,,,,,,
,[すべり止め・固定力],ズレ防止性能,ずれない,滑らない,ピタッ,動く,密着,安定,固定,,
,[表裏の向き・設置ノウハウ],設置面の理解,凹凸面,ツルツル面,どちら,裏表,説明,間違い,貼る,,
,[サイズ感・長さ不足],寸法の適合性,幅,長さ,短い,余る,切る,調整,合わない,,
,[カット性・加工しやすさ],加工のしやすさ,ハサミ,カット,切りやすい,目印,線,付属カッター,,,
,[厚み・クッション感],厚さの体感,厚い,薄い,ペラペラ,しっかり,クッション,柔らかい,,,
,[ニオイ],臭気強度,臭い,ビニール,酢,匂いなし,気になる,,,,
,[クリーニング性・衛生],掃除のしやすさ,拭ける,汚れ,水洗い,掃除,清潔,衛生,,,
,[表面保護],保護性能,傷,防止,滑り,擦れ,汚れ防止,,,,
,[デザイン・色柄],見た目・印象,透明,クリア,可愛い,柄,地味,色味,明るい,,
,[価格・コスパ],価格満足度,安い,高い,コスパ,値段,品質,お得,,,
,[巻き癖・エッジ],平坦性,丸まる,浮く,端,癖,伸ばす,平ら,,,
,[静音性],衝撃吸収性,音,静か,カチャカチャ,軽減,防音,,,,
,[CS対応],販売者対応,対応,早い,丁寧,返金,交換,誠実,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,【ライティング視点レポート（TSV形式）】,,,,,,,,,,
,表現タイプ,お客様が使用する言葉（ポジティブ・原子化）,お客様が使用する言葉（ネガティブ・原子化）,,,,,,,,
,感情表現,満足,気に入る,買ってよかった,リピート,安心,期待外れ,残念,がっかり,最悪,失敗
,機能・性能表現,ずれない,滑らない,切りやすい,厚い,しっかり,使いやすい,動く,薄い,滑る,合わない
,質感・感覚表現,ふわふわ,しっとり,さらさら,やわらかい,なめらか,ペラペラ,ベタつく,臭い,固い,
,見た目・印象表現,きれい,可愛い,明るい,清潔感,シンプル,地味,安っぽい,濁る,,
,利便性表現,簡単,便利,すぐ使える,手軽,無駄がない,面倒,手間,難しい,,
,価格表現,安い,お得,コスパいい,納得,高い,割高,損した,,,
,対応表現,丁寧,迅速,誠実,信頼できる,遅い,雑,不親切,,,
